08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60535.684324	170947.000000	43718652.577006996	142219736.87205902	379043.157079	10000000.000050	639999999.999000
60535.684336	172001.000000	43718652.554817	142219736.839281	379043.157083	10000000.000030	640000000.004000
60535.684348	173056.000000	43718652.567699	142219736.85926	379043.157482	10000000.000130	639999999.999000
60535.684360	174112.000000	43718652.539079994	142219736.821323	379043.157192	9999999.999910	639999999.999000
60535.684373	175166.000000	43718652.582476	142219736.860039	379043.156869	10000000.000050	640000000.002000
60535.684385	176221.000000	43718652.575937994	142219736.846923	379043.157051	9999999.999980	639999999.996000
60535.684397	177274.000000	43718652.57751	142219736.873045	379043.157240	10000000.000100	640000000.001000
60535.684409	178329.000000	43718652.549433	142219736.850014	379043.157163	10000000.000050	640000000.002000
60535.684421	179382.000000	43718652.578545995	142219736.849789	379043.157186	10000000.000100	639999999.999000
60535.684434	180436.000000	43718652.599966995	142219736.86886	379043.157556	10000000.000000	640000000.001000
60535.684446	181492.000000	43718652.553298	142219736.828446	379043.157035	10000000.000060	640000000.002000
60535.684458	182545.000000	43718652.569358	142219736.865249	379043.157047	10000000.000000	639999999.998000
60535.684470	183599.000000	43718652.570324995	142219736.86342	379043.157386	10000000.000020	639999999.999000
60535.684482	184654.000000	43718652.559093	142219736.837455	379043.157389	9999999.999900	639999999.999000
60535.684495	185706.000000	43718652.559459	142219736.84105	379043.157197	10000000.000080	640000000.001000
60535.684507	186759.000000	43718652.597365	142219736.871487	379043.157393	10000000.000090	640000000.003000
60535.684519	187814.000000	43718652.548263	142219736.830134	379043.157162	10000000.000040	639999999.997000
60535.684531	188868.000000	43718652.594464995	142219736.866211	379043.157016	10000000.000070	640000000.002000
60535.684543	189921.000000	43718652.566769	142219736.841474	379043.157277	10000000.000070	639999999.998000
60535.684556	190976.000000	43718652.577051	142219736.869545	379043.157151	10000000.000090	640000000.001000
60535.684568	192030.000000	43718652.605729	142219736.865077	379043.157538	9999999.999900	639999999.999000
60535.684580	193085.000000	43718652.540585995	142219736.830695	379043.157360	9999999.999970	640000000.000000
60535.684592	194141.000000	43718652.567108	142219736.856484	379043.157197	10000000.000010	640000000.005000
60535.684604	195197.000000	43718652.575948	142219736.861405	379043.156657	9999999.999990	639999999.998000
60535.684617	196250.000000	43718652.576359	142219736.857367	379043.157549	10000000.000030	639999999.998000
60535.684629	197306.000000	43718652.571266994	142219736.856684	379043.157325	9999999.999910	640000000.001000
60535.684641	198360.000000	43718652.579041	142219736.846102	379043.157206	10000000.000010	639999999.999000
60535.684653	199415.000000	43718652.568794	142219736.843572	379043.157094	10000000.000010	640000000.004000
60535.684665	200469.000000	43718652.582500994	142219736.872606	379043.157384	10000000.000030	640000000.001000
60535.684678	201525.000000	43718652.59039199	142219736.85883102	379043.157435	10000000.000020	640000000.000000
60535.684690	202580.000000	43718652.54717	142219736.852479	379043.157115	9999999.999970	640000000.000000
60535.684702	203636.000000	43718652.547822	142219736.852833	379043.157318	9999999.999970	639999999.999000
60535.684714	204689.000000	43718652.526447	142219736.836933	379043.157092	10000000.000020	640000000.004000
60535.684727	205745.000000	43718652.586673	142219736.871811	379043.157255	10000000.000020	640000000.004000
60535.684739	206800.000000	43718652.529923	142219736.853252	379043.157554	9999999.999920	640000000.003000
60535.684751	207854.000000	43718652.56255899	142219736.86682102	379043.156920	10000000.000040	639999999.997000
60535.684763	208910.000000	43718652.555534996	142219736.864408	379043.157407	9999999.999950	640000000.003000
60535.684775	209966.000000	43718652.553458	142219736.858845	379043.157249	9999999.999940	639999999.999000
60535.684788	211019.000000	43718652.496305995	142219736.813145	379043.157168	9999999.999970	640000000.001000
60535.684800	212073.000000	43718652.561193	142219736.868824	379043.157073	9999999.999980	640000000.002000
60535.684812	213127.000000	43718652.540133	142219736.8617	379043.156939	10000000.000120	640000000.000000
60535.684824	214181.000000	43718652.524642	142219736.83599302	379043.157415	9999999.999920	639999999.999000
60535.684836	215234.000000	43718652.543607	142219736.841836	379043.157346	10000000.000040	640000000.006000
60535.684849	216288.000000	43718652.542220995	142219736.849739	379043.157306	9999999.999960	640000000.002000
60535.684861	217343.000000	43718652.569771	142219736.868852	379043.157142	10000000.000040	640000000.000000
60535.684873	218398.000000	43718652.532584	142219736.82813302	379043.156973	9999999.999940	639999999.999000
60535.684885	219453.000000	43718652.562138	142219736.859631	379043.157145	10000000.000000	640000000.000000
60535.684897	220506.000000	43718652.540093996	142219736.860086	379043.157379	10000000.000010	640000000.002000
60535.684910	221561.000000	43718652.533258	142219736.84592602	379043.157129	10000000.000060	640000000.001000
60535.684922	222614.000000	43718652.532882	142219736.833724	379043.157099	9999999.999950	639999999.998000
60535.684934	223669.000000	43718652.573884994	142219736.87583	379043.157411	9999999.999860	640000000.002000
60535.684946	224722.000000	43718652.561487995	142219736.866968	379043.157362	10000000.000040	639999999.999000
60535.684958	225775.000000	43718652.508485	142219736.821057	379043.157028	9999999.999950	640000000.001000
60535.684971	226831.000000	43718652.580605	142219736.883917	379043.157351	10000000.000030	640000000.003000
60535.684983	227884.000000	43718652.526072994	142219736.829633	379043.156890	9999999.999980	640000000.001000
60535.684995	228939.000000	43718652.569345996	142219736.879929	379043.157258	9999999.999970	639999999.999000
60535.685007	229994.000000	43718652.577401996	142219736.855256	379043.157537	9999999.999900	640000000.002000
60535.685019	231050.000000	43718652.564583994	142219736.87543902	379043.157283	10000000.000060	640000000.001000
60535.685032	232103.000000	43718652.528010994	142219736.832284	379043.156961	10000000.000060	640000000.002000
60535.685044	233158.000000	43718652.581556	142219736.87619302	379043.156964	9999999.999900	639999999.999000
60535.685056	234213.000000	43718652.564683996	142219736.853968	379043.157404	9999999.999970	640000000.004000
60535.685068	235268.000000	43718652.548475996	142219736.860002	379043.157551	9999999.999970	640000000.004000
60535.685080	236323.000000	43718652.558873	142219736.856563	379043.156976	10000000.000050	639999999.999000
60535.685093	237378.000000	43718652.537148	142219736.836493	379043.157090	10000000.000070	640000000.001000
60535.685105	238432.000000	43718652.55677199	142219736.85231	379043.157148	10000000.000100	640000000.001000
60535.685117	239485.000000	43718652.581037	142219736.862389	379043.157615	10000000.000100	640000000.000000
60535.685129	240538.000000	43718652.557041995	142219736.854647	379043.157275	9999999.999950	639999999.997000
60535.685141	241592.000000	43718652.527027994	142219736.830466	379043.157089	10000000.000040	640000000.002000
60535.685154	242647.000000	43718652.549234994	142219736.85984	379043.157184	10000000.000130	640000000.006000
60535.685166	243701.000000	43718652.5779	142219736.85189602	379043.157208	10000000.000090	639999999.999000
60535.685178	244754.000000	43718652.551478	142219736.872118	379043.157351	10000000.000030	639999999.999000
60535.685190	245809.000000	43718652.559368	142219736.848722	379043.157214	9999999.999910	639999999.999000
60535.685202	246863.000000	43718652.540587	142219736.848984	379043.157060	9999999.999990	640000000.000000
60535.685215	247919.000000	43718652.565965	142219736.857953	379043.157593	9999999.999920	640000000.006000
60535.685227	248975.000000	43718652.539757	142219736.869262	379043.157022	10000000.000000	640000000.006000
60535.685239	250030.000000	43718652.551865995	142219736.839107	379043.157162	10000000.000070	640000000.000000
60535.685251	251083.000000	43718652.562557	142219736.844543	379043.157398	10000000.000020	640000000.005000
60535.685263	252138.000000	43718652.603352994	142219736.874556	379043.157366	10000000.000000	639999999.999000
60535.685276	253192.000000	43718652.562913	142219736.84522602	379043.157130	10000000.000000	640000000.000000
60535.685288	254246.000000	43718652.602427	142219736.874481	379043.157263	10000000.000120	640000000.003000
60535.685300	255301.000000	43718652.55175	142219736.826268	379043.157434	9999999.999980	640000000.002000
60535.685312	256356.000000	43718652.58305	142219736.881606	379043.157132	10000000.000030	640000000.001000
60535.685324	257410.000000	43718652.562856995	142219736.839991	379043.157099	10000000.000010	640000000.003000
60535.685337	258464.000000	43718652.588650994	142219736.864915	379043.157298	9999999.999980	640000000.003000
60535.685349	259519.000000	43718652.578635	142219736.851286	379043.157402	9999999.999970	640000000.001000
60535.685361	260571.000000	43718652.541726	142219736.84123	379043.157581	9999999.999930	640000000.000000
60535.685373	261627.000000	43718652.588914	142219736.834959	379043.156548	9999999.999940	640000000.000000
60535.685385	262681.000000	43718652.585990995	142219736.874616	379043.157392	9999999.999990	640000000.002000
60535.685398	263736.000000	43718652.566768	142219736.837699	379043.157340	9999999.999980	640000000.003000
60535.685410	264792.000000	43718652.588493	142219736.877943	379043.157225	10000000.000040	640000000.002000
60535.685422	265846.000000	43718652.549012996	142219736.831877	379043.157139	9999999.999970	639999999.995000
60535.685434	266900.000000	43718652.587804995	142219736.869648	379043.156952	10000000.000090	639999999.999000
60535.685447	267954.000000	43718652.556944	142219736.829083	379043.157359	10000000.000040	640000000.004000
60535.685459	269009.000000	43718652.577033	142219736.860057	379043.157251	9999999.999910	640000000.005000
60535.685471	270064.000000	43718652.60251	142219736.869664	379043.157301	10000000.000030	639999999.999000
60535.685483	271116.000000	43718652.591334	142219736.838193	379043.157242	10000000.000070	640000000.001000
60535.685495	272171.000000	43718652.599401996	142219736.884639	379043.157331	10000000.000080	640000000.002000
60535.685507	273223.000000	43718652.578072	142219736.842162	379043.157029	10000000.000010	640000000.004000
60535.685520	274277.000000	43718652.574203	142219736.854359	379043.157349	10000000.000050	640000000.000000
60535.685532	275330.000000	43718652.606803	142219736.855821	379043.157170	10000000.000000	640000000.004000
60535.685544	276384.000000	43718652.592111	142219736.865912	379043.157471	10000000.000010	640000000.002000
60535.685556	277439.000000	43718652.570505	142219736.843659	379043.157489	10000000.000130	640000000.002000
60535.685569	278496.000000	43718652.586330995	142219736.849146	379043.156977	10000000.000030	639999999.997000
60535.685581	279549.000000	43718652.571305	142219736.848775	379043.156911	9999999.999960	640000000.003000
60535.685593	280603.000000	43718652.601802	142219736.860984	379043.157401	10000000.000060	639999999.998000
60535.685605	281657.000000	43718652.58103	142219736.850742	379043.157493	10000000.000090	640000000.001000
60535.685617	282712.000000	43718652.572115	142219736.855094	379043.156994	9999999.999950	640000000.001000
60535.685630	283768.000000	43718652.520916	142219736.832768	379043.156940	10000000.000070	639999999.999000
60535.685642	284824.000000	43718652.581125	142219736.849128	379043.157371	9999999.999940	640000000.003000
60535.685654	285878.000000	43718652.563210994	142219736.876757	379043.157182	10000000.000060	639999999.996000
60535.685666	286932.000000	43718652.555525	142219736.857792	379043.157017	9999999.999870	640000000.000000
60535.685678	287986.000000	43718652.543621995	142219736.832865	379043.157062	9999999.999940	640000000.003000
60535.685691	289040.000000	43718652.571132995	142219736.852701	379043.157474	10000000.000120	639999999.997000
60535.685703	290094.000000	43718652.565561	142219736.867113	379043.157175	10000000.000000	640000000.001000
60535.685715	291150.000000	43718652.570712	142219736.867327	379043.157133	9999999.999890	640000000.001000
60535.685727	292203.000000	43718652.550868	142219736.843726	379043.156959	9999999.999940	640000000.002000
60535.685739	293258.000000	43718652.575531	142219736.855176	379043.157514	9999999.999990	640000000.000000
60535.685752	294314.000000	43718652.54874	142219736.8353	379043.157340	9999999.999910	640000000.001000
60535.685764	295368.000000	43718652.52792	142219736.83612302	379043.157080	10000000.000080	640000000.001000
60535.685776	296423.000000	43718652.597831994	142219736.871451	379043.157109	10000000.000050	640000000.002000
60535.685788	297480.000000	43718652.560146	142219736.866011	379043.157276	10000000.000030	640000000.000000
60535.685800	298534.000000	43718652.58138999	142219736.839221	379043.157179	10000000.000000	640000000.001000
60535.685813	299588.000000	43718652.573372	142219736.86255	379043.157164	9999999.999970	639999999.998000
60535.685825	300641.000000	43718652.575936	142219736.854901	379043.157233	9999999.999880	640000000.000000
60535.685837	301695.000000	43718652.542036	142219736.859853	379043.157180	9999999.999980	639999999.996000
60535.685849	302751.000000	43718652.587021	142219736.85637102	379043.157239	10000000.000060	640000000.002000
60535.685861	303807.000000	43718652.543799	142219736.84165	379043.157290	10000000.000100	640000000.001000
60535.685874	304859.000000	43718652.581375994	142219736.853466	379043.157085	10000000.000050	639999999.998000
60535.685886	305912.000000	43718652.58802199	142219736.87288502	379043.157146	10000000.000020	640000000.003000
