01/24/2025	11:15:08	(analyzed:  1/24/2025)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60699.764261	323491.000000	NaN	nan	NaN	NaN	NaN
60699.764273	324547.000000	NaN	nan	NaN	NaN	NaN
60699.764285	325603.000000	NaN	nan	NaN	NaN	NaN
60699.764297	326658.000000	NaN	nan	NaN	NaN	NaN
60699.764310	327715.000000	NaN	nan	NaN	NaN	NaN
60699.764322	328771.000000	NaN	nan	NaN	NaN	NaN
60699.764334	329828.000000	NaN	nan	NaN	NaN	NaN
60699.764346	330885.000000	NaN	nan	NaN	NaN	NaN
60699.764358	331942.000000	NaN	nan	NaN	NaN	NaN
60699.764371	332999.000000	NaN	nan	NaN	NaN	NaN
60699.764383	334055.000000	NaN	nan	NaN	NaN	NaN
60699.764395	335112.000000	NaN	nan	NaN	NaN	NaN
60699.764407	336170.000000	NaN	nan	NaN	NaN	NaN
60699.764420	337226.000000	NaN	nan	NaN	NaN	NaN
60699.764432	338284.000000	NaN	nan	NaN	NaN	NaN
60699.764444	339340.000000	NaN	nan	NaN	NaN	NaN
60699.764456	340396.000000	NaN	nan	NaN	NaN	NaN
60699.764469	341453.000000	NaN	nan	NaN	NaN	NaN
60699.764481	342509.000000	NaN	nan	NaN	NaN	NaN
60699.764493	343566.000000	NaN	nan	NaN	NaN	NaN
60699.764505	344622.000000	NaN	nan	NaN	NaN	NaN
60699.764517	345678.000000	NaN	nan	NaN	NaN	NaN
60699.764530	346735.000000	NaN	nan	NaN	NaN	NaN
60699.764542	347791.000000	NaN	nan	NaN	NaN	NaN
60699.764554	348847.000000	NaN	nan	NaN	NaN	NaN
60699.764566	349904.000000	NaN	nan	NaN	NaN	NaN
60699.764579	350960.000000	NaN	nan	NaN	NaN	NaN
60699.764591	352018.000000	NaN	nan	NaN	NaN	NaN
60699.764603	353075.000000	NaN	nan	NaN	NaN	NaN
60699.764615	354131.000000	NaN	nan	NaN	NaN	NaN
60699.764628	355188.000000	NaN	nan	NaN	NaN	NaN
60699.764640	356244.000000	NaN	nan	NaN	NaN	NaN
60699.764652	357299.000000	NaN	nan	NaN	NaN	NaN
60699.764664	358356.000000	NaN	nan	NaN	NaN	NaN
60699.764676	359412.000000	NaN	nan	NaN	NaN	NaN
60699.764689	360470.000000	NaN	nan	NaN	NaN	NaN
60699.764701	361528.000000	NaN	nan	NaN	NaN	NaN
60699.764713	362584.000000	NaN	nan	NaN	NaN	NaN
60699.764725	363641.000000	NaN	nan	NaN	NaN	NaN
60699.764738	364698.000000	NaN	nan	NaN	NaN	NaN
60699.764750	365756.000000	NaN	nan	NaN	NaN	NaN
60699.764762	366813.000000	NaN	nan	NaN	NaN	NaN
60699.764774	367869.000000	NaN	nan	NaN	NaN	NaN
60699.764787	368927.000000	NaN	nan	NaN	NaN	NaN
60699.764799	369982.000000	NaN	nan	NaN	NaN	NaN
60699.764811	371038.000000	NaN	nan	NaN	NaN	NaN
60699.764823	372096.000000	NaN	nan	NaN	NaN	NaN
60699.764835	373154.000000	NaN	nan	NaN	NaN	NaN
60699.764848	374212.000000	NaN	nan	NaN	NaN	NaN
60699.764860	375269.000000	NaN	nan	NaN	NaN	NaN
60699.764872	376327.000000	NaN	nan	NaN	NaN	NaN
60699.764884	377384.000000	NaN	nan	NaN	NaN	NaN
60699.764897	378441.000000	NaN	nan	NaN	NaN	NaN
60699.764909	379498.000000	NaN	nan	NaN	NaN	NaN
60699.764921	380555.000000	NaN	nan	NaN	NaN	NaN
60699.764933	381610.000000	NaN	nan	NaN	NaN	NaN
60699.764946	382667.000000	NaN	nan	NaN	NaN	NaN
60699.764958	383724.000000	NaN	nan	NaN	NaN	NaN
60699.764970	384780.000000	NaN	nan	NaN	NaN	NaN
60699.764982	385837.000000	NaN	nan	NaN	NaN	NaN
60699.764994	386894.000000	NaN	nan	NaN	NaN	NaN
60699.765007	387950.000000	NaN	nan	NaN	NaN	NaN
60699.765019	389006.000000	NaN	nan	NaN	NaN	NaN
60699.765031	390062.000000	NaN	nan	NaN	NaN	NaN
60699.765043	391120.000000	NaN	nan	NaN	NaN	NaN
60699.765056	392175.000000	NaN	nan	NaN	NaN	NaN
60699.765068	393233.000000	NaN	nan	NaN	NaN	NaN
60699.765080	394290.000000	NaN	nan	NaN	NaN	NaN
60699.765092	395346.000000	NaN	nan	NaN	NaN	NaN
60699.765105	396403.000000	NaN	nan	NaN	NaN	NaN
60699.765117	397459.000000	NaN	nan	NaN	NaN	NaN
60699.765129	398516.000000	NaN	nan	NaN	NaN	NaN
60699.765141	399573.000000	NaN	nan	NaN	NaN	NaN
60699.765153	400629.000000	NaN	nan	NaN	NaN	NaN
60699.765166	401686.000000	NaN	nan	NaN	NaN	NaN
