"","x"
"857",2.23906404060424
"858",-2.97445679612038
"859",1.86648188704496
"860",-3.39678335454529
"861",-1.50199588435436
"862",-3.39340208749494
"863",1.51712279528279
"864",4.30092478613109
"865",-0.530294931053545
"866",-4.7277681235715
"867",-1.95109243195041
"868",0.611885401047792
"869",2.70428336577833
"870",-0.547386921830804
"871",-2.53050343684512
"872",-1.33705473683567
"873",-1.82232814681351
"874",-1.24395220843166
"875",3.3125183961998
"876",-0.145927772428459
"877",-1.27202070381409
"878",-4.0467159893952
"879",0.594545677635627
"880",-4.38164090031444
"881",-1.1264764030844
"882",0.222143681872714
"883",3.0495600140556
"884",-4.17367128482344
"885",4.11061177560015
"886",-2.93884593975673
"887",1.14376826770539
"888",-7.45265234007975
"889",1.88606376961281
"890",-0.85934409136824
"891",-1.93362664831967
"892",0.179364861815195
"893",-0.168422678721232
"894",-3.3700736790438
"895",-4.51400195495232
"896",-0.309020315976474
"897",0.866741264845768
"898",0.566592528249724
"899",0.816783519327353
"900",2.51693062475449
"901",1.33238557857503
"902",1.21959360789375
"903",2.05484003977385
"904",1.9548201844685
"905",2.70882403477213
"906",4.68494982098567
"907",0.765657021465177
"908",-2.12717365397011
"909",-3.18510961829565
"910",-1.15022182847307
"911",0.999481327045502
"912",-4.61909118357574
"913",-4.579857970016
"914",-5.57759312483906
"915",4.1479031732375
"916",-3.02565172042278
"917",-6.14123075921483
"918",1.5950199964642
"919",-0.8895254806834
"920",-1.82289530454604
"921",3.03258664248924
"922",3.0169440731461
"923",-6.10702246807311
"924",1.15453523047387
"925",-2.35857750522527
"926",-0.523609692996974
"927",-5.6107183017057
"928",0.324317783692742
"929",0.619043168500582
"930",2.71549183203838
"931",1.2919519794183
"932",-1.82050225221492
"933",0.84690955710986
"934",0.506439299034089
"935",3.21868592991107
"936",-5.51745758955349
"937",0.406783615021224
"938",1.92661137332503
"939",-1.81289331501771
"940",-0.623099983239028
"941",0.0205705266288942
"942",-0.529937973753371
"943",-3.86158848867848
"944",1.71030713444862
"945",2.04275583415449
"946",-0.580050764188857
"947",-7.46783627849517
"948",-1.40944464423237
"949",-4.42247570458565
"950",2.11891202875426
"951",0.730321198238568
"952",0.626660660040493
"953",-0.20568279784903
"954",-1.39633758187256
"955",-2.01524877271359
"956",0.402165867615087
"957",3.05110407492591
"958",1.26469563455091
"959",3.39329242895656
"960",-6.46667815793519
"961",1.05852308361754
"962",1.24621105175082
"963",-5.5434574859747
"964",-2.48160438403111
"965",-1.91654841545058
"966",0.664717632482495
"967",-1.67875939667827
"968",-1.91886188815019
"969",0.636526608181955
"970",-0.0732052224707093
"971",0.152424805058526
"972",1.80706532119321
"973",-1.19078146938188
"974",1.90319290578335
"975",-0.554513017240888
"976",-0.866456262156301
"977",-0.560939104892378
"978",0.0279724073041876
"979",-2.72989279457268
"980",0.990910387927828
"981",0.176993337690641
"982",-2.2523033798086
"983",-0.0596575120104469
"984",-2.56958526683294
"985",1.02266104959424
"986",-5.77518642525177
"987",0.0683329985167522
"988",-1.17236426981706
"989",4.68072186119521
"990",2.79210339991898
"991",-0.809380156983663
"992",-2.05670678189832
"993",-6.53861486093343
"994",-0.0418921120916899
"995",-1.65444838626536
"996",2.74097998373917
"997",-3.64692910501741
"998",1.36778925146185
"999",0.953774317025782
"1000",-0.0362722415832569
"1001",-0.119943195836852
"1002",1.3660011902145
"1003",0.159645016240842
"1004",-1.80036663985924
"1005",-0.777026648355737
"1006",1.89218611745361
"1007",-0.660790470453801
"1008",1.00484935689812
"1009",-4.69568376206442
"1010",-5.92339896922987
"1011",1.37722233638749
"1012",-1.29851067142033
"1013",3.27013531263996
"1014",-6.40258436897858
"1015",-1.39804265331193
"1016",1.00576832644909
"1017",2.57394709223896
"1018",-0.582685899316302
"1019",-1.04091630790746
"1020",-2.8509657755451
"1021",-0.293358298798814
"1022",-0.500689940755063
"1023",-5.99700935271506
"1024",1.14954615586326
"1025",-0.828914803575239
"1026",-6.17621952836346
"1027",-5.36160539693823
"1028",0.275972043817795
"1029",2.89952644274822
"1030",-1.78399683688851
"1031",-2.57360279501727
"1032",-1.1073286706907
"1033",1.51224215543118
"1034",1.41146109086906
"1035",0.0671313282384871
"1036",-5.48290109860687
"1037",0.684569870246001
"1038",0.373683834866854
"1039",0.061405777560033
"1040",-4.78720223741895
"1041",0.255431244423912
"1042",0.750900195446
"1043",-3.72198821012456
