03/13/2025	10:18:34	(analyzed:  3/14/2025, filtered by KK: 3/18/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60747.730017	4358487.000000	113927.227991	104999999.999700	99999999.999300	28854968.999860	22737007.999850
60747.730029	4359544.000000	113927.228380	105000000.001800	100000000.001100	28854969.000340	22737008.000020
60747.730042	4360602.000000	113927.228035	104999999.998700	99999999.998500	28854968.999900	22737007.999880
60747.730054	4361660.000000	113927.228275	105000000.000100	100000000.000300	28854969.000080	22737008.000010
60747.730066	4362717.000000	113927.228137	104999999.999600	100000000.000400	28854969.000320	22737008.000170
60747.730078	4363774.000000	113927.228288	105000000.000700	99999999.999800	28854968.999810	22737008.000010
60747.730091	4364831.000000	113927.228335	105000000.001700	100000000.001000	28854968.999810	22737007.999990
60747.730103	4365887.000000	113927.228046	105000000.000000	99999999.998000	28854969.000260	22737007.999820
60747.730115	4366945.000000	113927.228271	105000000.000100	100000000.000400	28854968.999710	22737007.999890
60747.730127	4368002.000000	113927.228216	105000000.001300	100000000.000900	28854969.000040	22737008.000050
60747.730139	4369056.000000	113927.228488	104999999.999700	100000000.000300	28854968.999820	22737008.000100
60747.730152	4370113.000000	113927.228144	105000000.001400	100000000.000700	28854969.000020	22737008.000100
60747.730164	4371169.000000	113927.228061	104999999.999800	99999999.998600	28854969.000070	22737007.999860
60747.730176	4372226.000000	113927.228347	105000000.001000	100000000.000200	28854968.999860	22737007.999960
60747.730188	4373284.000000	113927.228348	105000000.000600	100000000.000400	28854968.999900	22737007.999990
60747.730201	4374340.000000	113927.228144	105000000.001000	99999999.999700	28854969.000030	22737007.999950
60747.730213	4375396.000000	113927.228055	105000000.000900	100000000.000900	28854968.999840	22737008.000040
60747.730225	4376453.000000	113927.228244	104999999.999300	99999999.998100	28854968.999890	22737008.000000
60747.730237	4377510.000000	113927.228358	105000000.001800	100000000.000100	28854968.999950	22737008.000020
60747.730250	4378567.000000	113927.228305	105000000.000300	100000000.000600	28854968.999710	22737008.000080
60747.730262	4379623.000000	113927.228030	104999999.999600	99999999.999800	28854968.999770	22737008.000100
60747.730274	4380681.000000	113927.228375	105000000.001300	100000000.000900	28854968.999620	22737007.999940
60747.730286	4381739.000000	113927.228386	105000000.000900	99999999.998000	28854969.000130	22737008.000100
60747.730298	4382796.000000	113927.228386	105000000.001000	100000000.000600	28854968.999830	22737008.000170
60747.730311	4383851.000000	113927.227900	105000000.001200	100000000.000300	28854969.000290	22737007.999930
60747.730323	4384908.000000	113927.228241	104999999.998700	99999999.999500	28854968.999900	22737008.000130
60747.730335	4385964.000000	113927.228191	105000000.000500	100000000.000800	28854969.000100	22737007.999800
60747.730347	4387021.000000	113927.227966	105000000.001700	99999999.998500	28854968.999850	22737008.000140
60747.730360	4388078.000000	113927.227955	104999999.999200	100000000.000400	28854968.999750	22737007.999960
60747.730372	4389135.000000	113927.228492	105000000.001400	100000000.000400	28854969.000160	22737007.999880
60747.730384	4390192.000000	113927.228295	104999999.999600	99999999.999300	28854968.999900	22737007.999900
60747.730396	4391248.000000	113927.228132	104999999.999400	100000000.000500	28854969.000180	22737007.999990
60747.730408	4392304.000000	113927.228339	105000000.001900	99999999.998700	28854969.000220	22737008.000020
60747.730421	4393361.000000	113927.228041	104999999.999800	100000000.000500	28854969.000100	22737007.999980
60747.730433	4394419.000000	113927.228275	104999999.999800	100000000.000000	28854969.000100	22737007.999980
60747.730445	4395476.000000	113927.228068	105000000.000900	99999999.999300	28854968.999870	22737007.999890
60747.730457	4396532.000000	113927.228702	105000000.001100	100000000.001000	28854968.999940	22737008.000120
60747.730470	4397590.000000	113927.227996	104999999.999300	99999999.998600	28854968.999910	22737007.999810
60747.730482	4398648.000000	113927.228214	104999999.999900	100000000.000000	28854968.999760	22737007.999950
60747.730494	4399706.000000	113927.228264	105000000.000100	99999999.999600	28854968.999990	22737008.000040
60747.730506	4400762.000000	113927.228034	104999999.999600	99999999.999500	28854968.999970	22737007.999980
60747.730519	4401820.000000	113927.228183	105000000.000400	100000000.001100	28854968.999890	22737008.000080
60747.730531	4402878.000000	113927.228033	105000000.001700	99999999.998700	28854968.999840	22737007.999990
60747.730543	4403934.000000	113927.228286	105000000.000600	100000000.000600	28854968.999930	22737007.999910
60747.730555	4404992.000000	113927.228253	105000000.001100	99999999.999700	28854968.999970	22737008.000110
60747.730568	4406049.000000	113927.228185	105000000.001000	99999999.999900	28854969.000050	22737008.000050
60747.730580	4407103.000000	113927.228299	104999999.999400	100000000.000600	28854969.000190	22737008.000020
60747.730592	4408161.000000	113927.228135	105000000.001300	99999999.999200	28854968.999780	22737007.999910
60747.730604	4409218.000000	113927.228362	104999999.999700	100000000.000200	28854968.999840	22737008.000080
60747.730616	4410274.000000	113927.227939	105000000.001600	99999999.999400	28854968.999960	22737008.000220
60747.730629	4411331.000000	113927.228144	105000000.000200	99999999.999300	28854969.000140	22737007.999910
60747.730641	4412387.000000	113927.228388	105000000.001600	100000000.000800	28854968.999930	22737008.000090
60747.730653	4413441.000000	113927.228597	105000000.000500	99999999.999000	28854969.000110	22737008.000160
60747.730665	4414500.000000	113927.227878	104999999.999500	100000000.000400	28854968.999870	22737007.999900
60747.730678	4415556.000000	113927.227931	105000000.001500	99999999.999500	28854968.999980	22737007.999930
60747.730690	4416613.000000	113927.228388	105000000.000600	99999999.999700	28854968.999900	22737008.000080
60747.730702	4417669.000000	113927.228231	105000000.000400	100000000.001000	28854969.000050	22737007.999920
60747.730714	4418727.000000	113927.228524	105000000.000000	99999999.998800	28854968.999790	22737008.000170
60747.730727	4419785.000000	113927.228051	105000000.000600	100000000.000400	28854968.999890	22737007.999920
60747.730739	4420842.000000	113927.228229	104999999.999800	99999999.999100	28854969.000270	22737008.000110
60747.730751	4421901.000000	113927.227951	105000000.000900	99999999.999900	28854969.000220	22737008.000180
60747.730763	4422958.000000	113927.228595	104999999.999300	100000000.000800	28854968.999990	22737008.000070
60747.730776	4424013.000000	113927.228113	105000000.000700	99999999.999300	28854968.999800	22737007.999950
60747.730788	4425068.000000	113927.228018	105000000.001300	100000000.000800	28854969.000020	22737007.999920
60747.730800	4426124.000000	113927.228440	105000000.000600	99999999.998600	28854968.999990	22737008.000090
60747.730812	4427181.000000	113927.228020	105000000.000600	100000000.000400	28854969.000220	22737008.000140
60747.730824	4428238.000000	113927.228321	105000000.001100	100000000.000800	28854968.999940	22737008.000060
60747.730837	4429295.000000	113927.227957	105000000.000100	99999999.999100	28854969.000370	22737007.999910
60747.730849	4430353.000000	113927.228335	105000000.000500	100000000.000700	28854968.999940	22737008.000080
60747.730861	4431409.000000	113927.228370	105000000.000000	99999999.998500	28854968.999800	22737008.000030
60747.730873	4432465.000000	113927.228398	104999999.999600	99999999.999900	28854969.000050	22737008.000000
60747.730886	4433521.000000	113927.228188	105000000.000000	100000000.000900	28854968.999830	22737008.000040
60747.730898	4434577.000000	113927.228051	105000000.000100	99999999.999400	28854969.000160	22737007.999910
60747.730910	4435635.000000	113927.228124	105000000.001600	100000000.000700	28854969.000070	22737008.000040
60747.730922	4436691.000000	113927.228518	105000000.000800	99999999.998300	28854968.999980	22737008.000040
60747.730934	4437746.000000	113927.228105	104999999.999200	99999999.999900	28854968.999790	22737007.999900
60747.730947	4438802.000000	113927.228222	105000000.000100	100000000.001000	28854968.999820	22737008.000000
60747.730959	4439859.000000	113927.228226	105000000.000800	99999999.999100	28854968.999840	22737007.999970
60747.730971	4440916.000000	113927.228353	104999999.999600	100000000.000600	28854969.000130	22737007.999990
60747.730983	4441973.000000	113927.228261	105000000.001800	99999999.998300	28854969.000170	22737007.999840
60747.730996	4443031.000000	113927.228171	105000000.000900	100000000.000000	28854968.999830	22737008.000070
60747.731008	4444088.000000	113927.228173	105000000.000200	100000000.001000	28854968.999690	22737008.000050
60747.731020	4445145.000000	113927.228311	105000000.000900	100000000.000000	28854969.000010	22737007.999970
60747.731032	4446201.000000	113927.228350	104999999.999500	100000000.000200	28854969.000270	22737007.999930
60747.731045	4447259.000000	113927.227946	105000000.000900	99999999.998100	28854969.000100	22737008.000010
60747.731057	4448315.000000	113927.227828	105000000.000700	100000000.000400	28854968.999770	22737007.999890
60747.731069	4449369.000000	113927.228361	105000000.000200	100000000.000400	28854969.000240	22737008.000140
60747.731081	4450427.000000	113927.228424	105000000.000400	99999999.999900	28854969.000180	22737007.999930
60747.731093	4451484.000000	113927.228272	105000000.002000	100000000.000800	28854968.999670	22737008.000040
60747.731106	4452542.000000	113927.228004	104999999.999500	99999999.998200	28854968.999980	22737008.000040
60747.731118	4453598.000000	113927.228209	104999999.999300	100000000.000300	28854969.000230	22737008.000110
60747.731130	4454655.000000	113927.228235	104999999.999900	100000000.000300	28854968.999930	22737007.999950
60747.731142	4455711.000000	113927.228322	105000000.001600	99999999.999700	28854968.999860	22737008.000040
60747.731155	4456767.000000	113927.228179	105000000.000600	100000000.000800	28854968.999810	22737008.000160
60747.731167	4457824.000000	113927.228169	105000000.001600	99999999.998100	28854968.999960	22737008.000010
60747.731179	4458880.000000	113927.228132	105000000.001100	100000000.000000	28854968.999870	22737008.000030
60747.731191	4459937.000000	113927.228239	104999999.999300	100000000.000200	28854969.000120	22737008.000050
60747.731204	4460994.000000	113927.228082	104999999.999800	99999999.999800	28854969.000050	22737008.000060
60747.731216	4462050.000000	113927.228178	105000000.000500	100000000.000700	28854969.000260	22737007.999950
60747.731228	4463106.000000	113927.228337	105000000.001000	99999999.998100	28854968.999870	22737008.000130
60747.731240	4464162.000000	113927.228319	105000000.000700	100000000.000600	28854969.000080	22737008.000070
60747.731252	4465219.000000	113927.227972	105000000.000400	100000000.000100	28854969.000080	22737007.999990
60747.731265	4466276.000000	113927.228309	105000000.000700	99999999.999500	28854968.999930	22737008.000090
60747.731277	4467333.000000	113927.228360	104999999.999300	100000000.001000	28854968.999830	22737008.000000
