MJD,shift,IS_GOOD
60507.71486719,63000001.99516032636165618896484375,True
60507.71487787,63000001.9608765542507171630859375,True
60507.71488854,63000001.940876595675945281982421875,True
60507.71489921,63000001.92333541810512542724609375,True
60507.71490988,63000001.90988098084926605224609375,True
60507.71492055,63000001.8978509008884429931640625,True
60507.71493122,63000001.9025680720806121826171875,True
60507.71494188,63000001.92525573074817657470703125,True
60507.71495255,63000001.952974639832973480224609375,True
60507.71496324,63000001.981444709002971649169921875,True
60507.7149739,63000002.00151716172695159912109375,True
60507.71498457,63000002.009742431342601776123046875,True
60507.71499524,63000002.02303899824619293212890625,True
60507.71500591,63000002.046093404293060302734375,True
60507.71501658,63000002.045078195631504058837890625,True
60507.71502726,63000002.014255799353122711181640625,True
60507.71503791,63000001.990489058196544647216796875,True
60507.7150486,63000001.9809672832489013671875,True
60507.71505926,63000001.96972668170928955078125,True
60507.71506992,63000001.96503822505474090576171875,True
60507.71508059,63000001.952713318169116973876953125,True
60507.71509127,63000001.939792312681674957275390625,True
60507.71510194,63000001.926157273352146148681640625,True
60507.71511261,63000001.917922385036945343017578125,True
60507.71512328,63000001.910748891532421112060546875,True
60507.71513395,63000001.904059045016765594482421875,True
60507.71514463,63000001.8979084491729736328125,True
60507.71515529,63000001.89561720192432403564453125,True
60507.71516597,63000001.894438959658145904541015625,True
60507.71517664,63000001.894544936716556549072265625,True
60507.71518731,63000001.90108703076839447021484375,True
60507.71519796,63000001.90717248618602752685546875,True
60507.71520863,63000001.918778724968433380126953125,True
60507.71521931,63000001.927537120878696441650390625,True
60507.71522999,63000001.93545235693454742431640625,True
60507.71524066,63000001.933793298900127410888671875,True
60507.71525133,63000001.936940975487232208251953125,True
60507.715262,63000001.935673557221889495849609375,True
60507.71527267,63000001.932878024876117706298828125,True
60507.71528335,63000001.921143718063831329345703125,True
60507.71529401,63000001.908623777329921722412109375,True
60507.71530469,63000001.892213046550750732421875,True
60507.71531535,63000001.88238941133022308349609375,True
60507.71532601,63000001.87701486051082611083984375,True
60507.71533669,63000001.875621058046817779541015625,True
60507.71534735,63000001.874939627945423126220703125,True
60507.71535803,63000001.886087767779827117919921875,True
60507.7153687,63000001.9082047641277313232421875,True
60507.71537937,63000001.9309283792972564697265625,True
60507.71539003,63000001.941708080470561981201171875,True
60507.71540071,63000001.946912057697772979736328125,True
60507.71541139,63000001.944694817066192626953125,True
60507.71542205,63000001.940784394741058349609375,True
60507.71543272,63000001.942565031349658966064453125,True
60507.7154434,63000001.948758624494075775146484375,True
60507.71545406,63000001.9523026049137115478515625,True
60507.71546473,63000001.953435264527797698974609375,True
60507.7154754,63000001.9463711082935333251953125,True
60507.71548607,63000001.933999292552471160888671875,True
60507.71549674,63000001.929478585720062255859375,True
60507.71550741,63000001.906559802591800689697265625,True
60507.71551809,63000001.871823571622371673583984375,True
60507.71552876,63000001.84898562729358673095703125,True
60507.71553943,63000001.82963414490222930908203125,True
60507.7155501,63000001.81403256952762603759765625,True
60507.71556077,63000001.7883721292018890380859375,True
60507.71557145,63000001.790781639516353607177734375,True
60507.71558211,63000001.821551091969013214111328125,True
60507.71559277,63000001.849352829158306121826171875,True
60507.71560344,63000001.86814253032207489013671875,True
60507.71561411,63000001.894357003271579742431640625,True
60507.71562479,63000001.913963086903095245361328125,True
60507.71563546,63000001.933407567441463470458984375,True
60507.71564613,63000001.95164819061756134033203125,True
60507.7156568,63000001.9479562938213348388671875,True
60507.71566747,63000001.919801048934459686279296875,True
60507.71567814,63000001.89743517339229583740234375,True
60507.71568883,63000001.8914255797863006591796875,True
60507.71569949,63000001.889863312244415283203125,True
60507.71571015,63000001.89184670150279998779296875,True
60507.71572083,63000001.892482824623584747314453125,True
60507.71573149,63000001.88673309981822967529296875,True
60507.71574216,63000001.877463482320308685302734375,True
60507.71575284,63000001.87629489600658416748046875,True
60507.71576351,63000001.879136793315410614013671875,True
60507.71577417,63000001.890564389526844024658203125,True
60507.71578486,63000001.906084723770618438720703125,True
60507.71579552,63000001.9274625480175018310546875,True
60507.7158062,63000001.94279384613037109375,True
60507.71581686,63000001.955021329224109649658203125,True
60507.71582752,63000001.948866553604602813720703125,True
60507.71583819,63000001.927711345255374908447265625,True
60507.71584886,63000001.90752424299716949462890625,True
60507.71585953,63000001.89598481357097625732421875,True
60507.7158702,63000001.88594166934490203857421875,True
60507.71588087,63000001.878087021410465240478515625,True
60507.71589154,63000001.87235987186431884765625,True
60507.71590222,63000001.86757214367389678955078125,True
60507.71591289,63000001.8731448948383331298828125,True
60507.71592357,63000001.895447887480258941650390625,True
60507.71593423,63000001.911438085138797760009765625,True
60507.71594491,63000001.920797578990459442138671875,True
60507.71595558,63000001.9246919453144073486328125,True
60507.71596624,63000001.922293461859226226806640625,True
60507.71597691,63000001.919587902724742889404296875,True
60507.71598758,63000001.923280537128448486328125,True
60507.71599824,63000001.926667191088199615478515625,True
60507.71600892,63000001.929127775132656097412109375,True
60507.71601959,63000001.926545225083827972412109375,True
60507.71603027,63000001.926800303161144256591796875,True
60507.71604094,63000001.92247937619686126708984375,True
60507.71605161,63000001.91370575129985809326171875,True
60507.71606228,63000001.911403976380825042724609375,True
60507.71607295,63000001.912347137928009033203125,True
60507.71608363,63000001.91182295978069305419921875,True
60507.71609428,63000001.9174433648586273193359375,True
60507.71610495,63000001.92779268324375152587890625,True
60507.71611562,63000001.939902462065219879150390625,True
60507.71612629,63000001.94559229910373687744140625,True
60507.71613697,63000001.951865829527378082275390625,True
60507.71614764,63000001.956696905195713043212890625,True
60507.71615832,63000001.96757407486438751220703125,True
60507.71616898,63000001.969151414930820465087890625,True
60507.71617965,63000001.9606022536754608154296875,True
60507.71619033,63000001.94873835146427154541015625,True
60507.71620099,63000001.952608533203601837158203125,True
60507.71621165,63000001.96638260781764984130859375,True
60507.71622234,63000001.98773951828479766845703125,True
60507.716233,63000002.008548356592655181884765625,True
60507.71624367,63000002.02393944561481475830078125,True
60507.71625434,63000002.02659039199352264404296875,True
60507.71626501,63000002.026217289268970489501953125,True
60507.71627568,63000002.027757354080677032470703125,True
60507.71628636,63000002.030111648142337799072265625,True
60507.71629703,63000002.024801172316074371337890625,True
60507.7163077,63000002.010082699358463287353515625,True
60507.71631836,63000001.994390375912189483642578125,True
60507.71632904,63000001.980935193598270416259765625,True
60507.7163397,63000001.973025999963283538818359375,True
60507.71635037,63000001.968386523425579071044921875,True
60507.71636106,63000001.9703069031238555908203125,True
60507.71637174,63000001.974342383444309234619140625,True
60507.71638239,63000001.981544911861419677734375,True
60507.71639306,63000001.992578446865081787109375,True
60507.71640373,63000002.00701461732387542724609375,True
60507.71641441,63000002.020160853862762451171875,True
60507.71642507,63000002.01875390112400054931640625,True
60507.71643574,63000002.0021419227123260498046875,True
60507.71644641,63000001.9862545430660247802734375,True
60507.71645707,63000001.975967399775981903076171875,True
60507.71646776,63000001.958206824958324432373046875,True
60507.71647842,63000001.9367397725582122802734375,True
60507.71648909,63000001.917000077664852142333984375,True
60507.71649977,63000001.904819510877132415771484375,True
60507.71651043,63000001.909003607928752899169921875,True
60507.7165211,63000001.931442059576511383056640625,True
60507.71653177,63000001.952543027698993682861328125,True
60507.71654245,63000001.9620952606201171875,True
