fo_ErYb,SDR:fb_Yb_ErYb,SDR:frep_ErYb,fb_Si_ErYb,MJD,nuSi,nuSr,nuYb
104999999.99930000,28855436.80011900,113927.22978000,100000000.00010000,60507.710948,194397939719215.71728000,429228169936217.9168302572735,518295773594905.89762200
105000000.00139999,28855436.80019200,113927.22949100,100000000.00020000,60507.71096,194397939719159.54261600,429228169936093.8837512469016,518295773594756.12698300
104999999.99969999,28855436.79983400,113927.22917400,99999999.99820000,60507.710972,194397939719097.92542400,429228169935957.8336265192617,518295773594591.84657000
105000000.00120001,28855436.79991700,113927.22960500,100000000.00020000,60507.710984,194397939719181.70148000,429228169936142.8102945243493,518295773594815.20655100
105000000.00110000,28855436.80013900,113927.22972300,100000000.00090000,60507.710996,194397939719204.63784800,429228169936193.4535586185496,518295773594876.35807300
104999999.99940000,28855436.79998900,113927.22980600,99999999.99950001,60507.711009,194397939719220.77105600,429228169936229.0755155661651,518295773594919.37204400
104999999.99950001,28855436.79993200,113927.22937200,100000000.00110000,60507.711021,194397939719136.41187200,429228169936042.8113069485131,518295773594694.45730000
105000000.00160000,28855436.80006400,113927.22947900,99999999.99890000,60507.711033,194397939719157.21010400,429228169936088.7335887966439,518295773594749.90839500
105000000.00130001,28855436.79995100,113927.22934200,99999999.99980000,60507.711045,194397939719130.58059200,429228169936029.9359008228690,518295773594678.91015200
105000000.00060000,28855436.80056700,113927.22964500,100000000.00120001,60507.711058,194397939719189.47652000,429228169936159.9775026918749,518295773594835.93473100
105000000.00049999,28855436.79938200,113927.22978600,99999999.99900000,60507.71107,194397939719216.88353600,429228169936220.4919114824023,518295773594909.00851800
105000000.00060000,28855436.80009300,113927.22932900,100000000.00030001,60507.711082,194397939719128.05370400,429228169936024.3565581684232,518295773594672.17278700
104999999.99930000,28855436.79970800,113927.22948300,99999999.99980000,60507.711094,194397939719157.98760800,429228169936090.4503096133964,518295773594751.98205500
104999999.99980000,28855436.79977100,113927.22941000,99999999.99900000,60507.711106,194397939719143.79816000,429228169936059.1201547076624,518295773594714.15062800
105000000.00160000,28855436.80034300,113927.22942500,100000000.00139999,60507.711119,194397939719146.71380000,429228169936065.5578577704844,518295773594721.92303900
105000000.00100000,28855436.80037100,113927.22949300,99999999.99810000,60507.711131,194397939719159.93136800,429228169936094.7421116552778,518295773594757.16309900
105000000.00100000,28855436.79992000,113927.22935700,100000000.00049999,60507.711143,194397939719133.49623200,429228169936036.3736038856910,518295773594686.68376900
105000000.00080000,28855436.80000200,113927.22962400,100000000.00030001,60507.711155,194397939719185.39462400,429228169936150.9647184039239,518295773594825.05288400
104999999.99910000,28855436.80002000,113927.22954900,99999999.99980000,60507.711167,194397939719170.81642400,429228169936118.7762030898136,518295773594786.18507300
105000000.00160000,28855436.79994400,113927.22953600,100000000.00090000,60507.71118,194397939719168.28953600,429228169936113.1968604353678,518295773594779.44814400
105000000.00080000,28855436.80005000,113927.22944200,99999999.99860001,60507.711192,194397939719150.01819200,429228169936072.8539212416828,518295773594730.73365400
105000000.00060000,28855436.80012600,113927.22944800,100000000.00010000,60507.711204,194397939719151.18444800,429228169936075.4290024668116,518295773594733.84292400
105000000.00049999,28855436.79981100,113927.22969100,100000000.00049999,60507.711216,194397939719198.41781600,429228169936179.7197920845292,518295773594859.77514500
104999999.99980000,28855436.79997400,113927.22960900,99999999.99950001,60507.711229,194397939719182.47898400,429228169936144.5270153411019,518295773594817.27938500
104999999.99950001,28855436.79993400,113927.22938500,100000000.00040001,60507.711241,194397939719138.93876000,429228169936048.3906496029589,518295773594701.19437700
105000000.00130001,28855436.80027200,113927.22953200,99999999.99840000,60507.711253,194397939719167.51203200,429228169936111.4801396186152,518295773594777.37454000
105000000.00070000,28855436.80002500,113927.22958500,99999999.99959999,60507.711265,194397939719177.81396000,429228169936134.2266904405866,518295773594804.84159500
105000000.00060000,28855436.80066700,113927.22956400,100000000.00080000,60507.711278,194397939719173.73206400,429228169936125.2139061526357,518295773594793.95733400
105000000.00010000,28855436.79937600,113927.22956200,99999999.99969999,60507.71129,194397939719173.34331200,429228169936124.3555457442594,518295773594792.92344200
104999999.99930000,28855436.79981200,113927.22947500,100000000.00130001,60507.711302,194397939719156.43260000,429228169936087.0168679798913,518295773594747.83595100
105000000.00000000,28855436.80019200,113927.22944700,99999999.99820000,60507.711314,194397939719150.99007200,429228169936074.9998222626235,518295773594733.32455500
105000000.00150000,28855436.80012700,113927.22956700,99999999.99959999,60507.711326,194397939719174.31519200,429228169936126.5014467652001,518295773594795.51312500
104999999.99900000,28855436.79997400,113927.22955300,100000000.00080000,60507.711339,194397939719171.59392800,429228169936120.4929239065661,518295773594788.25811300
105000000.00030001,28855436.80016800,113927.22962800,99999999.99950001,60507.711351,194397939719186.17212800,429228169936152.6814392206765,518295773594827.12550000
105000000.00010000,28855436.79998900,113927.22974300,100000000.00070000,60507.711363,194397939719208.52536800,429228169936202.0371627023124,518295773594886.72311300
105000000.00010000,28855436.80005500,113927.22947000,99999999.99930000,60507.711375,194397939719155.46072000,429228169936084.8709669589507,518295773594745.24428000
105000000.00040001,28855436.79990800,113927.22939400,100000000.00030001,60507.711387,194397939719140.68814400,429228169936052.2532714406521,518295773594705.85856200
105000000.00030001,28855436.79984900,113927.22959100,100000000.00040001,60507.7114,194397939719178.98021600,429228169936136.8017716657154,518295773594807.95136900
105000000.00170000,28855436.80026100,113927.22962300,99999999.99969999,60507.711412,194397939719185.20024800,429228169936150.5355381997358,518295773594824.53412900
105000000.00070000,28855436.80005200,113927.22949900,100000000.00049999,60507.711424,194397939719161.09762400,429228169936097.3171928804067,518295773594760.27315900
105000000.00100000,28855436.79978300,113927.22924500,99999999.99930000,60507.711436,194397939719111.72612000,429228169935988.3054210166195,518295773594628.64149900
104999999.99959999,28855436.80005600,113927.22967900,100000000.00010000,60507.711449,194397939719196.08530400,429228169936174.5696296342716,518295773594853.55581100
