08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Al_ErYb	fb_Yb_ErYb
60535.685617	282712.000000	113927.229572	105000000.001800	99999999.999900	22737008.001410	28855374.100200
60535.685630	283768.000000	113927.229657	104999999.999300	100000000.000000	22737008.001350	28855374.099750
60535.685642	284824.000000	113927.229225	105000000.001400	100000000.000100	22737008.000330	28855374.100180
60535.685654	285878.000000	113927.229343	104999999.999500	100000000.000200	22737007.999130	28855374.100240
60535.685666	286932.000000	113927.229329	105000000.001600	99999999.999200	22737007.998860	28855374.100230
60535.685678	287986.000000	113927.229535	104999999.999700	99999999.999400	22737007.998610	28855374.099520
60535.685691	289040.000000	113927.229135	104999999.999800	100000000.000900	22737007.998880	28855374.100150
60535.685703	290094.000000	113927.229232	105000000.001300	99999999.999800	22737007.999660	28855374.100060
60535.685715	291150.000000	113927.229412	105000000.001000	100000000.000300	22737008.000460	28855374.099880
60535.685727	292203.000000	113927.229632	104999999.999400	99999999.998300	22737008.001250	28855374.100140
60535.685739	293258.000000	113927.229072	105000000.000200	99999999.999600	22737008.001380	28855374.099900
60535.685752	294314.000000	113927.229204	105000000.001400	100000000.000400	22737008.001450	28855374.099950
60535.685764	295368.000000	113927.229511	105000000.000500	99999999.999700	22737008.000490	28855374.099930
60535.685776	296423.000000	113927.229420	105000000.000800	100000000.000600	22737007.999330	28855374.099810
60535.685788	297480.000000	113927.229232	104999999.998800	99999999.997300	22737007.998830	28855374.100410
60535.685800	298534.000000	113927.229467	105000000.000100	100000000.001000	22737007.998650	28855374.100010
60535.685813	299588.000000	113927.229400	105000000.000600	100000000.000500	22737007.998880	28855374.099910
60535.685825	300641.000000	113927.229346	105000000.001500	99999999.999400	22737007.999380	28855374.100080
60535.685837	301695.000000	113927.229308	104999999.998900	100000000.001000	22737008.000520	28855374.100200
60535.685849	302751.000000	113927.229441	105000000.001400	99999999.998200	22737008.000960	28855374.100070
60535.685861	303807.000000	113927.229209	105000000.000000	100000000.000500	22737008.001190	28855374.099860
60535.685874	304859.000000	113927.229511	105000000.000800	100000000.000800	22737008.001220	28855374.100260
60535.685886	305912.000000	113927.229382	105000000.000900	99999999.999700	22737008.001010	28855374.100070
60535.685898	306966.000000	113927.229162	104999999.999200	100000000.000500	22737007.999690	28855374.100030
60535.685910	308020.000000	113927.229338	105000000.000200	99999999.998400	22737007.998680	28855374.099790
60535.685922	309074.000000	113927.229176	105000000.001200	100000000.000100	22737007.998500	28855374.099690
