,Timestamp + left,Timestamp + right,Timestamp - left,Timestamp - right,probe frequency,splitting,density + servo shift,Z2 shift,Z2 shift uncertainty
1782,1740776335.897194,1740776339.075273,1740776334.316396,1740776337.474796,-235611461.87388322,-44.69775193929672,0.012503116462662573,-0.2455188963565201,0.00028430963367157106
1783,1740776342.245677,1740776345.401061,1740776340.649125,1740776343.806397,-235611461.8760497,-44.69582363963127,-0.037867399717542605,-0.24530486566030346,0.00028406583188587124
1784,1740776348.560479,1740776351.735477,1740776346.963594,1740776350.144165,-235611461.90358227,-44.72256454825401,0.02712379409501426,-0.24630980532801064,0.00028521055541484523
1785,1740776354.902938,1740776358.06007,1740776353.307492,1740776356.478462,-235611461.89404917,-44.76893988251686,0.00021490966621421547,-0.2454371925398793,0.0002842165650827006
1786,1740776361.243493,1740776364.414312,1740776359.63369,1740776362.853639,-235611461.88270724,-44.79826256632805,0.08414832984926097,-0.245143241194662,0.0002838817258552917
1787,1740776367.576581,1740776370.738834,1740776365.990959,1740776369.142584,-235611461.85131177,-44.7386639714241,-0.007850982793021896,-0.2451430095542247,0.0002838814619942156
1788,1740776373.910015,1740776377.068312,1740776372.323431,1740776375.486263,-235611461.84993368,-44.7059780061245,-0.04318739333781093,-0.2458990839628838,0.00028474270419459136
1789,1740776380.236685,1740776383.413511,1740776378.639953,1740776381.824117,-235611461.86076856,-44.71396341919899,-0.03575273301288707,-0.24564844714910652,0.00028445720459883565
1790,1740776386.580898,1740776389.735798,1740776384.992036,1740776388.139759,-235611461.88441873,-44.756761223077774,-0.058282487243553116,-0.2449222405556033,0.0002836299845159963
1791,1740776392.919533,1740776396.084295,1740776391.326391,1740776394.481459,-235611461.90442455,-44.75970596075058,0.0025474967941444505,-0.24513712422077324,0.0002838747580247295
1792,1740776399.25613,1740776402.405685,1740776397.656121,1740776400.815158,-235611461.90107447,-44.69442239403725,-0.0006582568212329705,-0.2456085481242694,0.0002844117557392022
1793,1740776405.573153,1740776408.754928,1740776403.978441,1740776407.156202,-235611461.89685518,-44.71154406666756,-0.0389799725343947,-0.2446316775337168,0.00028329900472174994
1794,1740776411.906689,1740776415.073121,1740776410.31805,1740776413.489824,-235611461.9144526,-44.70051175355911,-0.016439889050057412,-0.24520138758702603,0.0002839479602715359
1795,1740776418.254671,1740776421.403285,1740776416.643881,1740776419.826571,-235611461.91578937,-44.6878220140934,-0.00891967270048103,-0.2452813484855654,0.00028403904353221503
1796,1740776424.573775,1740776427.759498,1740776422.987338,1740776426.146267,-235611461.9334396,-44.689314275979996,-0.0009106641155178524,-0.24620178893408162,0.00028508751435287404
1797,1740776430.927676,1740776434.08384,1740776429.313368,1740776432.499685,-235611461.91913247,-44.753052055835724,0.03902570836242526,-0.24527498213732538,0.0002840317916410758
1798,1740776437.239613,1740776440.417297,1740776435.650837,1740776438.833649,-235611461.90676188,-44.75688919425011,0.038439416432413456,-0.24512221773735077,0.0002838577780843337
1799,1740776443.595318,1740776446.756218,1740776441.990553,1740776445.157916,-235611461.88328347,-44.76395791769028,0.0260446815204129,-0.2456256581304,0.0002844312456961711
1800,1740776449.92113,1740776453.077643,1740776448.31955,1740776451.497885,-235611461.8544639,-44.705432176589966,0.053002963487423095,-0.24625042131452746,0.0002851429113136683
1801,1740776456.263233,1740776459.429036,1740776454.653879,1740776457.824162,-235611461.85201788,-44.77772128582001,-0.033214600267118755,-0.24579403254085597,0.00028462304046460174
1802,1740776462.59404,1740776465.764105,1740776461.005301,1740776464.152188,-235611461.8515166,-44.794196397066116,-0.03240967938162706,-0.2454656845438588,0.00028424902024569047
1803,1740776468.921333,1740776472.090157,1740776467.335385,1740776470.50134,-235611461.87753278,-44.76327955722809,-0.006972812283736996,-0.24586078899117497,0.0002846990825196998
