#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 04-26-2024, analyzed on 04-26-2024.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#  First 120 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 17040.856 s
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#  - Delta_ZS2 = -0.7365+/-0.00025 Hz
#
t_mjd	f_shift[Hz]	IS_GOOD
60426.7242961	204500000.589334	1
60426.7243610	204500000.589282	1
60426.7244241	204500000.589306	1
60426.7244880	204500000.589344	1
60426.7245437	204500000.589366	1
60426.7246030	204500000.589361	1
60426.7246676	204500000.589310	1
60426.7247641	204500000.589301	1
60426.7248263	204500000.589323	0
60426.7248877	204500000.589306	0
60426.7249432	204500000.589284	0
60426.7250078	204500000.589306	0
60426.7250816	204500000.589302	0
60426.7251441	204500000.589289	0
60426.7252009	204500000.589287	0
60426.7252957	204500000.589346	0
60426.7253595	204500000.589310	0
60426.7254609	204500000.589350	0
60426.7255196	204500000.589382	0
60426.7399141	204500000.589431	0
60426.7399819	204500000.589426	0
60426.7400433	204500000.589415	0
60426.7401011	204500000.589359	0
60426.7401574	204500000.589406	0
60426.7402119	204500000.589459	0
60426.7402668	204500000.589464	0
60426.7403216	204500000.589408	0
60426.7403757	204500000.589461	0
60426.7404326	204500000.589524	0
60426.7404905	204500000.589519	0
60426.7405551	204500000.589545	0
60426.7406129	204500000.589543	0
60426.7406670	204500000.589531	0
60426.7407242	204500000.589538	0
60426.7407857	204500000.589528	0
60426.7408388	204500000.589565	0
60426.7409024	204500000.589583	0
60426.7409699	204500000.589561	0
60426.7410282	204500000.589529	0
60426.7410868	204500000.589498	0
60426.7411420	204500000.589497	0
60426.7411980	204500000.589426	0
60426.7412583	204500000.589381	0
60426.7413152	204500000.589367	1
60426.7413754	204500000.589372	1
60426.7414368	204500000.589443	1
